RespondentID,StartDate,EndDate,First Name,LastName,Custom Data,"In what year were you born? (enter 4-digit birth year; for example, 1976) - Open-Ended Response",Are you male or female?,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been feeling optimistic about the future,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been feeling useful,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been feeling relaxed,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been dealing with problems well,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been thinking clearly,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been feeling close to other people,Below are some statements about feelings and thoughts. Please tick the box that best describes your experience of each over the last week - I’ve been able to make up my own mind about things,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I perceive my feelings and emotions without having to react to them.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I watch my feelings without getting lost in them.,"Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - In difficult situations, I can pause without immediately reacting.",Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - When I have distressing thoughts or images I am able just to notice them without reacting.,"Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - When I have distressing thoughts or images, I feel calm soon after.","Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - When I have distressing thoughts or images, I ""step back"" and am aware of the thought or image without getting taken over by it.","Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - When I have distressing thoughts or images, I just notice them and let them go.",Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I am good at resisting temptation.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I have a hard time breaking bad habits.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I am lazy.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I say inappropriate things.,"Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I do certain things that are bad for me, if they are fun.",Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I refuse things that are bad for me.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I wish I had more self-discipline.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - People would say that I have iron self-discipline.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - Pleasure and fun sometimes keep me from getting work done.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I have trouble concentrating.,Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I am able to work effectively toward long-term goals.,"Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - Sometimes I can't stop myself from doing something, even if I know it is wrong.",Please rate each of the following statements. Select the response that best describes your own opinion of what is generally true for you. - I often act without thinking through all the alternatives.,How familiar are you with the notion of complete mental silence?,"Prior exprience - At some time in my life, I experienced complete mental silence.","Prior exprience - In my childhood, I experienced complete mental silence.","If you have never experienced complete mental silence, are you interested in learning how to experience it?",Please indicate your agreement or disagreement with the following statements. - I never slow down long enough to experience complete mental silence.,"Please indicate your agreement or disagreement with the following statements. - My life circumstances prevent me from experiencing complete mental silence, currently and probably during the next 1-2 weeks.","Please indicate your agreement or disagreement with the following statements. - I am too emotionally preoccupied to experience complete mental silence, currently and probably during the next 1-2 weeks.","During the past week, - I created favorable external conditions to allow myself to experience complete mental silence.","During the past week, - I allowed myself to experience complete mental silence.","During the past week, - I taught (or helped teach) other people how to experience complete mental silence.","During the last week, how often did you allocate time to experience (or try to experience) complete mental silence?","During the last week, how much time did you set aside per structured session to experience (or try to experience) complete mental silence?","During recent structured sessions, what percentage of the time (e.g. 80 for 80% of the time) were you physically relaxed (not fidgeting, not uncomfortable)? - Open-Ended Response","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - Complete mental silence.","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - Occasional thoughts separated by longer periods of silence.","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - A few thoughts separated by brief periods of silence.","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - Slowing of my usual thinking.","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - My usual rate of thinking.","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - Somewhat more frequent thoughts than usual.","Referring to the chart above, what was your typical experience in recent structured sessions, before and after the session? - Much more frequent thoughts than usual.","During recent structured sessions, I thought about ... - How much time was remaining in the session.","During recent structured sessions, I thought about ... - The future.","During recent structured sessions, I thought about ... - The past.",In what percentage of these structured sessions did you actually experience complete mental silence (e.g. 30 for 30% of the sessions)? - Open-Ended Response,"During recent structured sessions, approximately how long did your longest experience of complete mental silence last?","It is possible to doze off while sitting quietly. During recent structured sessions, what percentage of the time were you asleep (e.g. 10 if you were sleeping for 10% of the time)? - Open-Ended Response","During recent structured sessions, to what extent were you aware of your physical location?","If your sense of physical location was changed, how long did this feeling remain with you?","In recent structured sessions, to what extent did you express your conscious will? Which of the following 5 descriptions happened to you most often (and 2nd and 3rd most)? - I had to struggle and force myself to get through the session.","In recent structured sessions, to what extent did you express your conscious will? Which of the following 5 descriptions happened to you most often (and 2nd and 3rd most)? - I had to make a moderate effort to attend to what I was supposed to do during the session.","In recent structured sessions, to what extent did you express your conscious will? Which of the following 5 descriptions happened to you most often (and 2nd and 3rd most)? - I drifted between effortfulness and effortlessness during the session.","In recent structured sessions, to what extent did you express your conscious will? Which of the following 5 descriptions happened to you most often (and 2nd and 3rd most)? - I enjoyed some relief from the feeling of conscious will and simultaneously attended to the session.","In recent structured sessions, to what extent did you express your conscious will? Which of the following 5 descriptions happened to you most often (and 2nd and 3rd most)? - I enjoyed the stillness of not consciously willing anything and simultaneously attended closely to the session.","After a typical recent session, how long did the feeling associated with the lack (or reduction) of conscious will remain with you?","Do you have any comments about this survey? If you have questions for which you wish  to receive a prompt answer, send me email jpritikin@virginia.edu. - Open-Ended Response"
4471906778,01/27/2016 19:26:31,01/27/2016 19:47:01,,,,1996,Male,Often,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,sometimes true,sometimes true,sometimes true,often true,often true,sometimes true,rarely true,rarely true,often true,often true,never or very rarely true,very often or always true,rarely true,very often or always true,rarely true,very often or always true,often true,rarely true,sometimes true,sometimes true,I have an interest in this topic.,Agree somewhat,Not sure,"Yes, I am keenly curious.",Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Not sure,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,
4471822613,01/27/2016 18:57:23,01/27/2016 19:04:57,,,,1996,Female,Often,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,sometimes true,often true,sometimes true,rarely true,rarely true,sometimes true,rarely true,rarely true,rarely true,sometimes true,rarely true,often true,often true,often true,sometimes true,sometimes true,often true,often true,sometimes true,rarely true,"The notion has crossed my mind, but I'm not sure what it means to me.",Not sure,Disagree somewhat,"Yes, I am moderately curious.",Disagree somewhat,Not sure,Disagree somewhat,Not sure,Disagree,Disagree,I didn't specifically allocate my time for complete mental silence.,I didn't plan any particular amount of time,30,,,,,after,,before,continuously,occasionally,occasionally,10,"A moment (e.g., a second or shorter).",10,I consistently felt that I was sitting in the room.,I didn't feel any change in my sense of physical location.,3rd most prevalent,2nd most prevalent,,,most prevalent,I didn't feel any reduction in conscious will.,
4471430068,01/27/2016 16:30:16,01/27/2016 16:31:10,,,,1996,Male,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4471421536,01/27/2016 16:27:08,01/27/2016 16:42:00,,,,1994,Male,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,sometimes true,sometimes true,sometimes true,sometimes true,rarely true,sometimes true,sometimes true,sometimes true,often true,rarely true,sometimes true,sometimes true,sometimes true,sometimes true,sometimes true,sometimes true,rarely true,often true,sometimes true,rarely true,I have discussed it with friends.,Agree,Not sure,I have experienced complete mental silence.,Not sure,Disagree,Disagree somewhat,Agree,Disagree somewhat,Disagree,1-3 times a week.,Less than 10 minutes.,50,,after,,,,before,,occasionally,frequently,not at all,20,Between 10 seconds and 1 minute.,0,I consistently felt that I was sitting in the room.,I didn't feel any change in my sense of physical location.,,most prevalent,3rd most prevalent,2nd most prevalent,,Between 1 minute and 10 minutes.,"I think you should reword the questions referring to what percent of the time I was asleep/fidgeting/in mental silence. The way you have the questions worded now, it is very likely respondents will be subject to anchoring effects."
4471020559,01/27/2016 13:59:42,01/27/2016 14:08:16,,,,1995,Female,Often,Often,Some of the time,Often,Often,All of the time,Often,sometimes true,often true,often true,rarely true,sometimes true,sometimes true,sometimes true,often true,rarely true,never or very rarely true,never or very rarely true,never or very rarely true,often true,rarely true,sometimes true,sometimes true,rarely true,very often or always true,rarely true,never or very rarely true,I have an interest in this topic.,Agree somewhat,Not sure,"Yes, I am keenly curious.",Agree somewhat,Not sure,Not sure,Disagree somewhat,Agree somewhat,Disagree somewhat,,,,,,,,,,,,,,,,,,,,,,,,,
4470732768,01/27/2016 11:16:08,01/27/2016 11:23:34,,,,1995,Female,Often,Often,Some of the time,Some of the time,Often,Often,Often,sometimes true,often true,often true,often true,rarely true,often true,rarely true,sometimes true,sometimes true,very often or always true,sometimes true,sometimes true,sometimes true,very often or always true,never or very rarely true,sometimes true,often true,sometimes true,never or very rarely true,sometimes true,This is the first time I have thought about it.,Disagree,Disagree,"Yes, I am moderately curious.",Not sure,Agree somewhat,Not sure,Disagree somewhat,Not sure,Disagree,1-3 times a week.,Less than 10 minutes.,10,,,after,,,,,frequently,occasionally,not at all,0,"A moment (e.g., a second or shorter).",5,I consistently felt that I was sitting in the room.,I didn't feel any change in my sense of physical location.,most prevalent,,2nd most prevalent,,3rd most prevalent,I didn't feel any reduction in conscious will.,
4470247440,01/27/2016 03:44:22,01/27/2016 03:48:41,,,,1995,Male,Often,Some of the time,Often,Often,Some of the time,Often,Some of the time,often true,very often or always true,very often or always true,sometimes true,sometimes true,often true,sometimes true,often true,rarely true,rarely true,sometimes true,rarely true,often true,sometimes true,sometimes true,rarely true,rarely true,often true,never or very rarely true,never or very rarely true,I have read something about it.,Agree,Agree,I have experienced complete mental silence.,Agree,Disagree somewhat,Disagree somewhat,Not sure,I don't understand this question.,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,
4470221566,01/27/2016 03:24:41,01/27/2016 03:25:26,,,,1997,Female,Some of the time,Some of the time,Rarely,Often,Rarely,Often,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469971373,01/27/2016 00:28:50,01/27/2016 01:00:36,,,,1994,Male,All of the time,Often,Some of the time,Often,Some of the time,Often,All of the time,rarely true,sometimes true,rarely true,rarely true,sometimes true,sometimes true,sometimes true,sometimes true,often true,often true,sometimes true,often true,often true,often true,rarely true,sometimes true,never or very rarely true,sometimes true,sometimes true,sometimes true,"The notion has crossed my mind, but I'm not sure what it means to me.",Not sure,Not sure,"Yes, I am moderately curious.",Agree,Disagree somewhat,Not sure,Not sure,Disagree somewhat,Disagree,I didn't specifically allocate my time for complete mental silence.,"Not applicable, since I do not allocate time for structured sessions.",,,,,,,,,,,,,,,,,,,,,,,
4469964174,01/27/2016 00:24:34,01/27/2016 00:31:53,,,,1995,Male,Some of the time,Some of the time,Some of the time,Rarely,Rarely,None of the time,Rarely,often true,sometimes true,sometimes true,very often or always true,never or very rarely true,rarely true,rarely true,sometimes true,sometimes true,rarely true,rarely true,sometimes true,often true,never or very rarely true,often true,rarely true,sometimes true,often true,sometimes true,rarely true,This is the first time I have thought about it.,Disagree somewhat,Disagree somewhat,"Yes, I am keenly curious.",Not sure,Agree somewhat,Agree somewhat,Agree somewhat,Disagree,Disagree,I didn't specifically allocate my time for complete mental silence.,"Not applicable, since I do not allocate time for structured sessions.",,,,,,,,,,,,,,,,,,,,,,,
